DATE,M2SL
2010-01-01,8458.5
2010-02-01,8508.2
2010-03-01,8505.2
2010-04-01,8535.8
2010-05-01,8590.7
2010-06-01,8609.7
2010-07-01,8619.4
2010-08-01,8669.7
2010-09-01,8700.7
2010-10-01,8749.8
2010-11-01,8770.5
2010-12-01,8802.2
2011-01-01,8823.2
2011-02-01,8887.0
2011-03-01,8943.4
2011-04-01,9004.9
2011-05-01,9075.5
2011-06-01,9151.3
2011-07-01,9317.0
2011-08-01,9508.6
2011-09-01,9529.7
2011-10-01,9563.5
2011-11-01,9614.2
2011-12-01,9661.9
2012-01-01,9735.6
2012-02-01,9793.5
2012-03-01,9841.2
2012-04-01,9894.0
2012-05-01,9938.7
2012-06-01,10002.3
2012-07-01,10059.5
2012-08-01,10119.4
2012-09-01,10197.4
2012-10-01,10260.8
2012-11-01,10324.2
2012-12-01,10455.8
2013-01-01,10481.1
2013-02-01,10493.0
2013-03-01,10559.3
2013-04-01,10593.7
2013-05-01,10633.5
2013-06-01,10686.0
2013-07-01,10732.4
2013-08-01,10786.9
2013-09-01,10838.6
2013-10-01,10952.1
2013-11-01,10957.4
2013-12-01,11023.6
2014-01-01,11079.9
2014-02-01,11172.6
2014-03-01,11210.8
2014-04-01,11263.1
2014-05-01,11329.6
2014-06-01,11380.4
2014-07-01,11437.4
2014-08-01,11466.5
2014-09-01,11500.2
2014-10-01,11562.1
2014-11-01,11598.2
2014-12-01,11677.5
2015-01-01,11747.4
2015-02-01,11875.2
2015-03-01,11891.8
2015-04-01,11931.1
2015-05-01,11961.4
2015-06-01,12006.5
2015-07-01,12055.9
2015-08-01,12104.6
2015-09-01,12158.6
2015-10-01,12196.5
2015-11-01,12280.9
2015-12-01,12344.3
2016-01-01,12475.9
2016-02-01,12556.9
2016-03-01,12621.1
2016-04-01,12701.5
2016-05-01,12768.3
2016-06-01,12835.4
2016-07-01,12894.0
2016-08-01,12973.5
2016-09-01,13032.8
2016-10-01,13105.6
2016-11-01,13180.2
2016-12-01,13220.3
2017-01-01,13295.3
2017-02-01,13365.9
2017-03-01,13435.2
2017-04-01,13493.2
2017-05-01,13544.0
2017-06-01,13571.3
2017-07-01,13628.1
2017-08-01,13677.1
2017-09-01,13718.7
2017-10-01,13771.7
2017-11-01,13806.1
2017-12-01,13858.7
2018-01-01,13876.1
2018-02-01,13918.7
2018-03-01,13975.1
2018-04-01,14005.5
2018-05-01,14070.6
2018-06-01,14130.3
2018-07-01,14159.4
2018-08-01,14201.8
2018-09-01,14232.4
2018-10-01,14239.7
2018-11-01,14258.3
2018-12-01,14377.2
2019-01-01,14446.8
2019-02-01,14489.8
2019-03-01,14536.7
2019-04-01,14572.7
2019-05-01,14672.5
2019-06-01,14791.2
2019-07-01,14862.1
2019-08-01,14938.8
2019-09-01,15030.1
2019-10-01,15156.7
2019-11-01,15254.4
2019-12-01,15329.1
2020-01-01,15410.0
2020-02-01,15473.4
2020-03-01,16014.3
2020-04-01,17042.9
2020-05-01,17893.0
2020-06-01,18179.6
2020-07-01,18320.0
2020-08-01,18381.8
2020-09-01,18605.0
2020-10-01,18751.1
2020-11-01,18960.2
2020-12-01,19125.8
2021-01-01,19378.7
2021-02-01,19650.3
2021-03-01,19896.2
